Element,SRR3585384.1,SRR3585385,SRR3585387.1,SRR3585388.1,SRR3585389,SRR3585390.1,SRR3585391,SRR3585392,SRR3585393.1,SRR3585394,SRR3585395,SRR3585396,SRR3585397.1,SRR3585398.1,SRR3585399,SRR3585400,SRR3585401.1,SRR3585402,SRR3585403,SRR3585404,SRR3585405,SRR3585406,SRR3585407,SRR3585408,SRR3585409.1,SRR3585410,SRR3585411,SRR3585412,SRR3585413.1,SRR3585414.1,SRR3585415,SRR3585416.1,SRR3585417,SRR3585420,SRR3585421.1,SRR3585422.1,SRR3585423,SRR3585424,SRR3585425,SRR3585426.1,SRR3585427,SRR3585428,SRR3585429,SRR3585430,SRR3585431,SRR3585432,SRR3585433,SRR3585434,SRR3585435,SRR3585436,SRR3585437,SRR3585438.1,SRR3585439.1,SRR3585440,SRR3585441,SRR3585442,SRR3585443,SRR3585444,SRR3585445,SRR3585446,SRR3585447,SRR3585448.1,SRR3585449,SRR3585450,SRR3585452,SRR3585453.1,SRR3585454,SRR3585455,SRR3585456,SRR3585457.1,SRR3585458,SRR3585459.1,SRR3585460,SRR3585463,SRR3585464,SRR3585465,SRR3585466.1,SRR3585467,SRR3585468,SRR3585469,SRR3585470,SRR3585471,SRR3585472,SRR3585473,SRR3585474,SRR3585475,SRR3585476,SRR3585477,SRR3585478,SRR3585480,SRR3585481,SRR3585482,SRR3585484,SRR3585485,SRR3585486,SRR3585487.1,SRR3585488,SRR3585489,SRR3585490.1,SRR3585491,SRR3585492,SRR3585493,SRR3585494,SRR3585496.1,SRR3585497,SRR3585498.1,SRR3585499,SRR3585500.1,SRR3585501,SRR3585502,SRR3585519,SRR3585530,SRR3585587,SRR3585588,SRR3585651,SRR3585652.1,SRR3585653,SRR3585654,SRR3585687,SRR3585729,SRR3585731,SRR3585732,SRR3585733,SRR3585734,SRR3585735,SRR3585737.1,SRR3585738,SRR3585739,SRR3585740.1,SRR3585741.1,SRR3585742,SRR3585743,SRR3585745.1,SRR3585746.1,SRR3585747,SRR3585748,SRR3585749,SRR3585750,SRR3585751,SRR3585752,SRR3585753,SRR3585754,SRR3585755.1,SRR3585756,SRR3585757,SRR3585758.1,SRR3585759.1,SRR3585760,SRR3585761,SRR3585763,SRR3585765,SRR3585766.1,SRR3585767,SRR3585768,SRR3585769,SRR3585770,SRR3585771,SRR3585772.1,SRR3585773.1,SRR3585774,SRR3585775,SRR3585776,SRR3585777.1,SRR3585778,SRR3585779,SRR3585780.1,SRR3585781,SRR3585782,SRR3585784.1,Average,Variance,Element,Name,ERR668305,ERR668306,ERR668307,ERR668308,ERR668309,ERR668310,ERR668311,ERR668312,ERR668313,ERR668314,ERR668315,ERR668316,ERR668317,ERR668318,ERR668319,ERR668320,ERR668321,ERR668322,ERR668323,ERR668324,ERR668325,ERR668326,Average,Var,Ttest,Ftest,
DR_FLYBASE_FBte0000906_Dmel\baggins.,54.94668034,47.31089346,55.06869083,54.5165519,51.55503313,51.05976651,49.31929356,50.56342601,53.94884328,50.21840608,55.79202464,46.45083825,49.18936475,52.6794478,54.31867139,47.26252433,49.83536279,51.7915358,47.05122475,55.78316523,52.20800624,49.77818779,48.02350147,48.72349447,53.28724653,57.28199001,53.95245708,48.03443454,49.02898832,48.83633351,55.5578963,50.16037593,64.12566252,56.06959211,55.00866735,44.83605399,52.35078004,46.73550316,48.49669407,52.80717713,57.28111147,46.60515789,50.36214781,49.04241707,51.26890932,54.66554443,53.00264441,55.85117218,46.23741966,50.55138468,57.11058138,51.57630766,58.94368258,69.72049351,48.57514891,53.94514746,58.63632238,47.88423205,54.47609949,58.38084649,53.27355047,49.79294573,54.35182553,56.67399966,48.28516462,55.72615398,50.96462546,54.71708995,61.69433424,60.53716514,53.11523617,57.44249654,48.81159826,48.52980047,55.45976356,51.6924547,45.66813428,55.09835221,49.16521247,51.67497068,56.52694176,49.90785516,56.95853713,52.02878998,57.83035982,52.05202612,52.71393313,54.12348301,55.5011375,53.33026376,54.11383777,50.24692516,55.65857922,51.78888808,56.49956895,52.8104806,53.27109903,47.33666993,51.93681741,50.8513782,50.40760879,54.63308142,57.78407531,51.58567331,56.03657324,52.89588389,59.29920826,55.8680198,48.57071216,55.58474715,50.95191742,53.97827968,56.2532124,46.57216862,53.51907532,55.37677615,47.68198135,49.32065989,48.69650288,49.57627039,58.29425686,47.0800807,54.92057235,47.96555212,54.64770636,57.51033823,50.26714517,50.98802802,52.40690895,51.53158574,54.85013187,50.03590571,50.83799702,49.03162989,51.38278262,49.49127611,53.02402913,59.35020017,51.84200277,52.57161284,48.29919639,55.87282935,48.80490697,56.09318765,56.14614363,55.24225381,51.23516641,54.68317493,56.804071,46.95390222,55.33286611,56.38098042,55.48686416,53.51254229,47.87910333,51.01217809,42.28999401,53.52157804,57.16188296,47.73600987,57.23062631,54.6622004,55.50861215,49.64424503,59.22824942,48.29540766,51.85814887,51.95383333,50.50370233,52.65207119,15.51134014,DR_FLYBASE_FBte0000906_Dmel,baggins.,59.07960721,61.36020017,63.97411285,68.87844757,58.00446635,59.7138702,61.02978428,61.81120287,61.25374336,54.34127475,58.77283313,57.47996037,62.08231411,56.33601687,69.67969682,62.23256077,58.55177322,78.6331462,78.4330117,60.59521813,58.40636032,54.29675038,62.04301598,42.67981831,4.25581E-18,0.000338311,
DR_FLYBASE_FBte0000118_Dmel\R1A1-element.,34.51660963,20.97728722,23.7990389,61.58049694,31.61391926,39.39547385,40.09530692,28.0751634,48.11853554,25.35690232,38.14382509,27.79372235,26.50194179,47.29948973,47.93865057,24.43337788,31.09914995,28.22763079,41.58433269,28.72311298,23.89578769,22.66092431,33.56124789,32.27159522,37.49202399,42.6650802,42.6915215,25.89866993,19.57148112,35.27026051,33.03489806,29.19074732,57.35615899,39.87555323,38.20615143,22.38234139,31.17616189,36.43033175,27.10900313,41.00783573,53.11479627,18.64643954,27.49588878,24.91950074,29.75037644,31.68926592,32.2428714,54.20000507,20.67866567,36.35655059,35.90291313,24.12554565,36.71347113,46.88260454,28.57021241,25.41067407,30.21866363,32.54650265,27.19016994,48.50537475,27.88993595,36.26040418,39.78383324,32.31691749,26.52315158,30.48828742,34.55658747,30.93014525,40.01996695,44.31272281,34.74685883,38.55504026,50.87476822,27.77038222,39.7878236,32.36551871,21.02828281,43.83829607,21.2325741,32.81667357,35.77219341,23.38602157,41.79115385,32.96592162,53.46680456,39.10331533,25.70416453,59.00288301,39.75701446,34.32179646,29.22169885,34.24342841,40.81356827,24.63822235,31.757209,26.99979581,35.54068025,25.36861918,26.36509422,43.24392837,32.67830216,37.32369844,50.35231435,35.38763394,39.13449933,35.1916935,28.18982848,46.25909062,24.79950417,40.73997454,34.8155785,40.06678521,41.9940111,26.50173875,38.03826686,29.35271035,21.88555944,28.12199426,33.04228089,24.6663118,57.40093367,30.84867466,41.48376123,24.00834816,31.60099124,50.41699236,28.13437921,25.5500695,36.09013847,32.59575595,34.55129172,21.43206729,41.59861388,25.56479088,37.17368825,28.11305089,39.244591,34.95506938,40.0706606,28.01321279,33.68672982,34.59189232,22.55976186,32.53292889,32.73429167,36.17606359,30.77287517,36.79315874,36.02860583,24.63256038,38.65859152,30.7109026,34.74543327,31.4220037,30.68337105,31.51182151,20.38490244,31.18125476,34.21681021,34.78249037,52.54302084,35.87196308,36.69293826,30.13802012,41.34643397,24.99402468,33.64449625,32.66726765,31.95527788,34.06977911,72.23515158,DR_FLYBASE_FBte0000118_Dmel,R1A1-element.,41.76834664,29.08437786,38.17763981,50.66218712,53.22658411,39.24723157,55.76302837,30.74994231,40.95080359,29.31237859,51.56919326,36.70276284,30.53967476,45.96127956,91.37153358,54.50302414,31.73421802,76.24173343,79.86842477,69.07429381,51.52650917,58.61298749,49.39309794,301.8052655,1.07765E-10,1.36105E-07,
DR_FLYBASE_FBte0001160_Dmel\X-element.,34.75175753,32.2553173,36.87848695,36.55247007,35.10253089,37.74805462,33.9216189,34.08428057,30.94888879,32.4561936,38.09625407,27.85524911,29.67553326,35.04446538,35.94128596,29.19738704,31.81492689,36.98529456,33.00586636,38.51889919,33.60320432,33.66682264,30.32385805,33.07987671,38.87575024,39.44632177,34.89942915,28.66544988,28.59673625,32.88827821,35.53377728,31.6151609,39.95288954,35.28363276,33.78825539,27.79540473,34.92855712,31.83414222,31.87839638,33.33516453,40.95853639,27.97623398,32.4186589,31.38385533,35.8644533,36.82415105,33.78373085,36.99981753,30.26669858,34.59425294,37.55649408,31.94986492,36.69460822,36.11403687,33.68108146,35.33197933,37.00328236,31.79660378,33.150229,37.12064395,33.75663188,28.07896928,36.12181959,38.16217104,30.18890722,35.13452048,33.62695887,34.67098476,38.75028821,40.94713596,33.13133212,36.27410368,33.29642501,31.07867722,36.52734714,35.34225386,27.83975212,32.11825496,30.11796949,32.23962781,37.39828545,29.70235693,38.74708281,33.74132868,33.76668662,32.65871227,34.05475946,35.03465679,33.73567097,36.34391412,32.37672807,31.64390297,36.10070708,31.91758851,34.9305705,33.79518606,36.40353037,28.38280092,33.85751465,38.72510942,36.04038475,34.55217341,39.20363853,38.05065749,36.55599776,36.71605131,36.48961148,37.02639553,30.68441114,35.5926183,33.85997633,34.02060445,37.32148159,28.68641223,34.82387419,35.77924092,31.06119618,33.16833306,32.82471524,32.4985134,36.23692028,28.62045241,36.33863444,31.86280705,35.76197154,38.43000943,30.2681141,33.1106056,32.49164797,31.51341534,39.18387828,34.36022129,33.0068389,31.25696083,33.88161814,30.33758311,35.36645836,36.50486921,33.47120985,30.755413,32.2683412,36.89551165,31.36783297,36.67177865,34.5223352,37.32080031,32.40134451,33.8521324,34.6622369,30.61888534,33.19893938,37.17218241,35.74259736,34.08252849,32.62657384,31.48911393,26.01948227,35.33586696,38.69309038,29.46294251,38.9461189,37.39733478,37.81149373,32.28327308,36.88333176,31.26860105,33.76739441,35.47344994,34.04632334,34.10067491,8.97863729,DR_FLYBASE_FBte0001160_Dmel,X-element.,39.16495035,39.87230371,43.0849237,47.54215758,37.27825766,40.82555286,40.42282069,38.34463941,39.57781285,37.56212536,39.49897856,41.71432404,41.22052282,37.56289457,38.77682792,41.031635,42.06589951,53.3404043,55.60152129,41.88817849,40.81258812,35.48306182,41.48510821,23.77009188,3.71645E-19,0.000592269,
DR_FLYBASE_FBte0000666_Dmel\Rt1c.,28.34695692,14.52035699,19.09840665,20.32923451,17.52141442,25.39312785,19.38519005,21.7121082,21.5893935,19.95293968,30.17408958,17.89727741,15.19098598,27.8429445,22.45755634,17.43144571,20.2076936,17.52191613,19.15928479,18.03318885,16.2289899,15.05625429,17.43186231,19.16529254,24.45553376,21.29827475,24.82340212,17.02898749,15.61769181,17.68516488,24.37036733,18.69042198,23.88131916,22.64839093,16.82469061,16.04266303,21.30480296,20.26082025,17.14449443,27.1021029,21.00114364,12.76231184,19.69442469,15.48616477,18.53160899,24.20546385,20.36312772,18.35911625,14.15505515,17.88530361,28.68878834,19.10976523,21.41571104,26.8695168,17.87727473,19.19407032,22.84678145,18.36852025,19.76978802,26.85740398,20.13466714,18.2820138,23.04475998,24.70354157,19.81107875,24.89856938,22.52809156,19.50679578,25.37428957,26.9445377,17.89311968,27.62292471,21.66527409,15.06972136,26.79927353,21.72508071,15.56723929,21.73946188,16.08579501,23.934455,21.45359079,14.42180626,24.46452853,15.56726843,23.41283997,20.12424908,17.13024421,22.31655889,22.81571739,21.27216082,20.88314173,19.33868933,24.14923463,16.1925758,30.19775374,16.03579871,22.61150794,13.05278275,22.56317034,28.61656253,22.09126188,21.39326049,24.89174047,24.18688288,19.11799031,21.96893867,23.13467576,24.92465067,16.1320032,22.42459797,18.99846012,21.84761671,21.88238478,13.90160485,20.95949979,21.6889012,12.80685891,19.15414889,20.99789445,20.01711535,19.28407619,20.07274635,29.30960087,16.56314373,17.91316515,21.91449742,14.9911809,18.0858009,13.44820855,21.51752829,21.34822793,19.42524425,19.13114798,14.04368425,23.22627131,21.19805458,23.25830445,23.726084,26.21681448,22.5430279,16.82942803,24.1258324,19.93634974,26.22091824,19.17754033,23.6606069,21.49131872,20.81331375,21.51444579,19.70915708,23.11312483,21.56644328,19.84578998,19.66840849,18.14462965,19.34584148,14.60256966,22.22777683,24.11576447,13.74880481,19.7003007,23.80415122,24.08751798,18.51867151,21.55918227,15.60913848,19.32773223,24.09423546,20.08377415,20.59526223,14.16372164,DR_FLYBASE_FBte0000666_Dmel,Rt1c.,24.07506231,31.57924032,29.73923548,34.44606052,22.71301368,24.97660737,29.46142441,27.40372795,32.23165452,21.77436169,23.02290616,22.61292613,27.12463825,24.74626448,39.82168162,23.11993226,21.53101598,39.52909305,42.64626856,23.28093746,24.04016563,21.30488103,27.78095904,41.36927513,1.01168E-12,0.000135154,
DR_FLYBASE_FBte0000034_Dmel\Bari1.,4.472584178,3.266960281,6.767618833,8.262281353,9.221742325,4.314796494,2.777933035,4.991950621,3.029553422,4.45170976,1.20172659,6.549788249,4.180574315,3.468246025,6.3776143,7.080053612,2.369388506,4.562357273,1.482003238,3.948042239,3.839688866,5.948031124,4.436706315,2.657062205,5.111698049,3.192337872,2.832583631,9.348702857,4.544703443,6.229637097,6.446502987,5.789475458,6.528359572,3.688380234,7.80938287,7.938743367,3.14600053,4.434131043,4.5339628,5.707326572,2.498273632,6.617785874,7.475330201,5.360621387,4.915205559,6.060065064,5.143595522,2.470833245,4.150532916,7.692461167,4.477842527,7.016314312,2.164396078,7.199793299,1.097374604,5.305399709,8.24274395,6.750736726,3.676330917,7.175332172,4.765138055,3.883391103,5.357104975,5.91750072,5.274228292,7.471955607,2.331246892,5.029064779,7.164190894,8.409628681,3.476955468,1.364163514,7.999157298,0.897565601,2.567889283,3.788270781,7.313739884,4.436908251,6.931250306,5.77057627,5.776379472,6.828724165,5.915960545,3.895734547,2.720238165,4.990617354,7.607780389,8.703898239,6.010541091,8.460039866,3.756217311,1.646021385,5.036579016,8.436611016,4.096340205,4.121236915,2.373031552,7.008196863,5.644638337,5.170462766,3.077931047,5.92776665,6.59069104,1.726843582,5.039364449,8.121213749,6.666998452,5.956392243,2.213656887,1.978635072,4.748790707,6.727245074,4.352449903,7.291323156,9.796515904,5.070355454,1.337593562,3.449531217,7.950861343,3.172770184,4.648539203,8.213537875,8.12114253,8.052448956,5.276433563,0.299366542,1.70343078,4.79980999,7.174573786,5.109780636,5.358811981,3.347601113,2.738396829,6.446987794,2.568835772,4.106729125,7.723399512,4.292271221,0.719540659,2.750029444,2.065551886,1.639062399,4.01609963,3.708794628,8.037914768,3.574310349,1.730406236,4.824759012,2.085859777,7.514528189,6.232172403,3.247735468,2.60797384,2.301156917,5.547116121,5.494412838,6.399286529,4.724633953,7.420630376,5.034213444,2.855845128,3.735283401,2.525371721,3.89177757,5.787562052,0.070427187,7.755663913,4.315773789,6.81834131,4.919477799,4.577295245,DR_FLYBASE_FBte0000034_Dmel,Bari1.,13.91220986,16.26804031,21.37361971,10.86112415,11.62087416,15.74417442,18.67455639,23.75715298,16.35035189,25.3318136,26.23640026,20.38900015,25.03047504,14.46596995,16.46731951,25.17655052,11.10708315,12.15421236,11.37572055,15.4227116,17.8574689,27.59022088,18.05304774,30.06512143,4.36805E-52,4.83613E-13,
DR_FLYBASE_FBte0000174_Dmel\G5A.,11.01954719,9.352744086,10.40177717,11.2209409,10.84690682,10.94326521,11.1270761,10.66825754,12.11606208,11.08279143,11.55789417,9.730715654,9.569271209,11.38205619,11.06043802,10.4985777,10.67197908,10.96156593,10.59155007,11.41238516,9.955244696,9.92382546,10.23456477,10.20465803,12.07134505,11.6647784,10.59844581,9.986076651,9.921854577,10.44631859,10.94470058,10.24664079,12.33332356,11.72109487,11.22577078,9.657267538,11.07789324,10.65396928,10.68803542,10.6247697,11.51924227,9.234234541,10.17109586,9.950154352,10.81347432,11.07100742,11.19249538,15.00206742,10.22807336,11.12148206,11.71497459,10.84783838,11.5356888,12.13591167,10.01944951,11.02622499,11.70338172,10.62117104,10.75664721,12.22670078,11.78446588,10.54535249,11.00857696,11.59804836,9.801988406,10.88965678,11.48193282,10.77724705,12.38765574,12.25986598,11.22836303,11.6849019,10.9887502,9.867355504,12.47856227,10.56163325,9.401930659,10.94212755,9.894908938,11.15551283,11.38521128,10.23118826,11.59122538,10.55752802,12.82597535,11.0801113,9.829203699,11.40415742,10.89896388,11.90112742,10.77618369,10.28540471,11.09144032,10.4651874,11.20671267,10.46541767,11.48727278,10.36335792,10.59391773,10.94211796,11.00944759,10.69180132,11.62743569,10.87277704,11.1375203,10.74605336,10.84933751,11.35103472,11.10649963,11.93328328,10.59241604,11.04676297,9.642659101,12.09728294,11.16526433,11.59842937,9.775793165,10.54005657,10.58170546,10.09341132,11.86275064,11.47439219,12.53578246,9.975401429,10.98400959,11.18945804,10.96045248,10.59241664,10.6821835,11.64820753,11.67084521,8.519772294,10.06896872,10.47126581,10.83419908,10.71296844,11.09873604,11.62925347,11.46881975,10.66550916,10.12029234,11.02603838,9.896902643,11.69786784,10.95750901,10.51329969,11.03423536,10.77504684,11.89232095,11.49684358,10.96495798,11.85822738,11.02333376,10.85629329,12.86897907,10.85972549,9.395158317,10.76336147,11.48703854,8.973993547,11.55602447,10.9712784,11.37744728,9.885810094,10.99452231,10.41459684,11.20773747,10.83580247,10.72495139,10.93101892,0.659178622,DR_FLYBASE_FBte0000174_Dmel,G5A.,11.2037951,12.17545241,10.00793535,12.00527377,12.03783434,10.60184484,10.95940783,9.547559112,10.96832441,9.872745092,11.32729086,9.082866512,12.44390768,10.12585604,11.3711983,11.47051431,10.80228631,14.07231979,14.16237171,15.37213523,13.38979373,13.69630454,11.66804624,2.704025259,0.000681986,2.06224E-07,
DR_FLYBASE_FBte0000168_Dmel\gypsy8.,5.628709807,3.443644774,4.854813361,5.559193699,3.536878135,6.107044494,5.663593723,5.441845982,5.114316222,4.098837708,6.114617716,4.228387695,3.025128365,6.173851512,5.240447974,3.984597708,4.698844575,4.416112845,5.271097105,4.805153843,4.137058447,3.38026886,4.203365111,3.690596203,5.277463269,5.729684927,5.520234212,3.546736708,3.94986338,4.591449985,4.820804275,4.165654468,5.849213637,5.132911416,3.853089369,3.192303764,4.443567949,4.185461753,4.234966335,5.788420863,5.476747016,3.448240795,4.415216232,3.790775553,5.151484093,4.510719523,5.068793145,5.051285674,3.491427832,4.673445599,5.618187649,4.443260837,5.516201964,6.408763159,3.74527001,4.839882815,6.124759888,4.059838134,4.298514501,5.488539647,5.461757487,3.665519409,5.397971057,5.603929667,3.780743204,5.811350471,4.962249297,5.424858149,5.937221236,5.833520717,4.387952653,5.501374419,4.673511347,3.751959825,6.062287951,5.575764036,3.22614378,5.164779228,3.185547178,4.980043195,5.161063614,3.815885551,6.609677769,3.893642613,5.536517633,4.322403961,4.25178546,6.025545028,5.505913608,4.896642344,5.005500412,4.389893829,4.565465877,3.924931121,5.690199296,3.736809932,5.366651889,3.172037765,4.810423957,6.618316837,4.359629032,4.803335684,5.359223965,5.638941897,4.930481403,5.095106139,5.917884895,5.912720713,4.097473228,5.358097493,5.170988423,4.905378006,4.785422245,3.45896923,4.996021522,5.250871053,3.472614244,4.08881555,4.275366771,3.976577438,6.014352598,4.043530205,5.759738011,4.398858993,4.438260457,5.890219191,3.615576266,4.296290064,3.91870548,4.907493586,4.755790822,3.444705946,4.538057727,3.493917022,5.004303217,4.937294593,5.041115331,5.521406115,5.063393511,4.496151782,3.463469065,5.552728504,4.203607829,5.471779142,5.209016945,5.512637476,4.482147001,5.009383117,5.367655041,4.075378927,5.509113729,6.037220472,4.785269375,5.247307641,4.318255231,4.139876545,2.949919898,5.517753342,5.314650939,3.857872935,4.828530962,5.517053715,5.190643212,4.581575355,5.104049363,3.889797982,4.008866132,5.235684927,4.696586458,4.774676273,0.68888998,DR_FLYBASE_FBte0000168_Dmel,gypsy8.,5.098794896,5.961788953,5.600118771,7.822689337,5.228974729,5.751544124,6.264964567,5.100645765,5.992527025,4.991989981,6.132037242,6.020876239,5.852880092,5.25387957,6.99715345,6.742542313,5.359012047,9.453813553,10.45518636,6.454194708,7.6201771,6.248955976,6.382033945,1.945702225,4.29533E-13,0.000228121,
DR_FLYBASE_FBte0000179_Dmel\Tirant.,2.793329506,2.758038905,2.946133193,2.56431249,2.728509886,2.617349422,2.701992139,2.352477541,2.847277974,2.755897373,2.361168641,2.751993463,3.38917777,2.547746247,2.886718507,2.840199526,2.771054407,2.942347772,2.727166601,3.042631961,2.954858908,2.738215902,2.652657062,2.554113399,2.788792141,2.789902597,2.749664708,2.886665476,2.627572261,2.472565322,2.738052684,3.064155877,3.069064417,2.592731639,3.478509992,2.722128504,2.927902093,2.704766038,2.555583133,2.483318034,2.573274683,2.708807663,2.805335586,2.774376421,2.715664503,3.253830214,2.781589254,3.71542063,2.640876474,2.877026223,2.546737204,3.07265709,2.532306025,3.737845113,2.753879309,3.537573179,2.622725873,2.576524201,2.828328636,2.975116107,2.599651185,2.503591853,2.68817183,2.616911303,2.581368095,2.738999452,2.56696848,2.73385494,2.599283392,2.972580119,3.015368443,2.712837064,2.744785355,2.834406905,2.462485297,2.524627654,3.188961411,2.884955319,2.507855766,2.531291794,2.566698886,3.298908108,2.724126441,2.758616201,2.898526068,3.227960493,2.701845299,3.387592879,3.027086575,2.634787277,3.28475726,2.673648272,3.146629733,2.94795209,2.841244182,2.740724057,2.743944964,2.977762248,2.829776311,2.505378218,2.759191152,2.786821204,2.663779916,2.460972935,2.908986552,2.878125943,3.118023267,2.427318775,2.842133533,2.601786932,2.728068424,2.743186743,2.830298125,2.702195002,2.817179233,2.636094602,2.624894574,2.898197707,2.523952083,2.989155066,2.910190833,2.832295288,2.531178006,2.616373232,2.77516003,2.724452325,2.740901465,2.670963628,2.871337092,2.930263792,2.522538086,2.498663802,2.679961956,2.435920555,1.998634527,2.476077593,2.827471971,2.777176983,2.503586004,2.852724012,2.606035397,3.124475821,2.833949142,2.840168348,2.765643587,2.858047635,2.616173421,2.674980666,2.706963105,2.942515623,2.742158299,2.438985016,2.876273631,2.776928902,2.402101392,2.759646286,2.946755834,2.403800474,2.663080859,2.553378785,2.622749235,2.692799621,2.799198871,2.690000304,3.057234676,2.728074635,2.730242193,2.481695299,2.750075874,2.769431509,0.060806388,DR_FLYBASE_FBte0000179_Dmel,Tirant.,3.21666793,4.686261491,3.188060711,2.216150737,3.506955776,6.207662524,6.684647712,2.327509634,2.529690262,2.036428334,2.367377028,3.991653897,2.311338613,5.70783894,4.416373278,2.334137496,2.314616894,2.286112316,2.267999546,5.748566234,4.451061293,4.003837675,3.581861287,2.173299379,4.1757E-10,9.50206E-51,
DR_FLYBASE_FBte0000023_Dmel\copia.,8.450226926,10.08534208,6.103325863,7.471854415,13.45224802,6.287827783,7.907629718,7.345559816,9.075539269,9.631433505,5.005052217,11.2532839,10.92123676,8.3700241,10.70646193,13.83823957,9.04621591,8.945157464,8.872372203,9.869199767,8.992186923,7.502647316,11.56666503,12.03934584,7.59486887,10.73402193,8.953073927,13.98712217,7.309389704,6.381047681,10.15178302,7.420017596,9.217512796,7.808130751,12.52881493,13.8865178,9.721818544,10.24458978,11.16176719,7.088876611,4.351546236,9.73114489,9.160957135,8.848876002,8.652613011,9.028194118,9.750513156,8.791110914,9.744878738,11.97929208,8.818800255,7.889295796,6.405385061,20.29733855,10.55995209,10.376602,7.915969809,11.491577,7.756992818,10.25989227,8.507285967,9.857652775,9.904147359,7.071165482,10.83759804,10.08706091,8.811868477,7.210238565,7.785755785,8.583189252,9.720144902,10.1422022,9.474970007,8.910686734,9.007275646,10.19423424,10.50239688,10.07407621,9.987582802,10.43662453,6.839511268,12.57969694,8.035107271,10.91193181,7.758090468,7.549054046,11.4131872,7.5331269,7.511762657,8.081018215,9.560194157,8.73735985,9.323037477,9.344844919,10.83716938,8.896679123,8.141194038,10.50758974,6.857865802,9.058564375,9.713112343,7.901737059,8.059581688,7.462377966,10.06985001,12.31713863,7.409068578,8.46999761,10.66516273,8.045717237,9.730100129,10.51738536,8.084759747,8.323543305,8.869350832,7.429142986,8.59602918,9.805034455,11.63081065,14.14900826,7.249535726,10.3268294,7.11906529,7.480460979,7.334782069,8.556160274,10.26720003,8.110201475,10.31460832,9.878618226,6.18239913,9.48515922,10.81089038,7.692453595,5.943725667,8.861624006,8.04330056,8.665757081,8.45372228,10.76325712,9.278170857,6.730331988,10.72357092,9.327248358,6.549503571,9.764440441,9.208631278,8.575924906,8.566320864,11.86985023,10.14921351,6.105573081,7.550470262,12.07603056,8.463390998,10.55450265,15.10013144,7.758732183,6.674411665,7.190825638,7.902071957,8.009982894,7.381210674,8.480510151,9.715102293,11.12746809,8.923886931,10.64501201,9.398754687,9.218416797,3.996964121,DR_FLYBASE_FBte0000023_Dmel,copia.,4.983262872,4.984964624,6.057103989,4.012796632,5.395822231,3.295837393,7.080918285,7.403281254,5.11584455,5.905642378,6.719223584,7.355240591,20.30212581,6.254806289,8.865061716,6.710498059,7.399070923,4.313439454,3.923333016,5.634617061,3.412170909,8.382545606,6.523073056,11.85271939,2.09522E-07,0.00010598,
DR_FLYBASE_FBte0000001_Dmel\diver.,5.518443977,5.868259561,8.865128074,5.11348506,3.61953203,7.313626878,6.507948637,6.285818087,6.768805316,6.987293541,3.546194498,6.152429833,4.723107411,5.357590167,6.778867045,5.238907336,6.321736821,7.501253759,5.373143462,7.093453692,9.371517243,5.847401393,5.279912803,6.056909429,7.777150146,8.258633242,6.970164865,8.34143113,5.320813987,5.475394385,10.76426591,9.181429918,8.434775231,4.088653455,7.383292234,5.00652325,8.040703381,6.795427177,6.488949562,5.986894309,6.859090051,5.21678002,6.417703209,5.462161848,7.220457225,4.960673564,6.091023849,7.788638772,7.136704051,7.924597655,6.138180748,7.106579267,7.336900938,12.97117712,6.853442995,8.46800522,8.469536565,7.904313094,7.678696097,7.172464448,6.962709739,4.899041119,6.21580236,6.610990008,3.466241339,8.588898328,7.137527197,7.422730812,5.869928327,9.923141696,8.293158832,4.723851817,5.834083767,4.75289372,6.755024293,5.66675501,9.012448338,4.923467334,6.303109255,6.303413869,4.345319644,5.942732957,7.85262829,5.725533616,6.886858896,8.4715657,3.829187804,4.401214497,6.840194115,6.715320425,4.893557002,7.911244144,7.339044492,8.016714081,6.812515277,5.301507383,7.74595449,5.196542453,5.769079844,6.917788724,5.080631571,3.719149584,5.65808223,9.146842771,3.476941989,7.57110687,5.288418865,8.028896344,5.023796526,4.768419412,8.168965968,5.280396141,7.023747905,6.123729822,6.881650881,7.204913928,3.439526302,8.089796324,4.340219433,5.95290817,6.875074318,5.013550934,5.235765406,8.017881181,7.532370574,8.805047012,8.311847644,5.860728611,8.090798761,6.646093953,8.50567725,2.546720601,4.073727946,6.912155293,7.326524762,4.482038133,7.308104222,6.615997455,8.235080229,5.258543044,3.4025878,7.149597541,6.707888075,7.258293754,4.616014534,6.232162951,5.038226366,6.492797803,4.002800492,7.226113152,6.631052714,6.479378007,4.064688066,7.217994531,5.476176262,6.370813931,5.462326541,5.940164398,8.567544093,5.594606757,7.013910465,8.186318771,6.318402119,5.673187725,26.31050661,8.088986414,30.75770672,7.311539815,5.933098807,6.751531772,8.190947201,DR_FLYBASE_FBte0000001_Dmel,diver.,5.954593288,7.949381357,8.657530548,7.444811574,8.170264615,7.74412304,10.02421076,4.065210305,5.252074714,6.545599356,6.49101102,6.927044689,30.61464101,6.141799184,5.356519288,6.715239067,8.882800903,7.966016945,7.742394421,6.684600371,7.032251921,6.747011668,8.141324093,26.94541422,0.057267238,1.79434E-05,
